,0
0,1000.0
1,1865.9429751826212
2,1877.7291722785312
3,1933.656882534808
4,2051.926830764906
5,2182.356349273136
6,2125.7062208089246
7,2051.240574832981
8,1972.1297927500104
9,2030.2111632376868
10,1853.325568319567
11,1820.279498716903
12,1946.57044406187
13,1880.1860807187752
14,1986.8171901951316
15,1936.4398817825258
16,1944.7896731383191
17,2060.5931799631603
18,2000.5649748719172
19,1909.2124030074526
20,1826.4587781008927
21,1725.711112366899
22,1822.0239131077724
23,1850.602878961061
24,1818.0514825731361
25,1822.2364684826446
26,1757.7524556435687
27,1756.3340106762487
28,1759.7719948205431
29,1715.030030266647
30,1734.0941389531818
31,1689.6720915143871
32,1650.6205664995534
33,1679.3722185884023
34,1493.4491482797791
35,1573.111165634278
36,1538.9180955602026
37,1617.5076241977013
38,1690.962178931835
39,1688.0834288917652
40,1687.3609402610607
41,1600.49757360072
42,1628.296574412075
43,1535.3122786013416
44,1524.4389050182808
45,1558.2076205216933
46,1584.4225192833799
47,1581.567870576224
48,1576.7840577524537
49,1531.3758242574704
50,1421.5382964326413
51,1265.3366364886522
52,1467.0756371111545
53,1566.0610205143862
54,1545.6978263730145
55,1636.1949785919821
56,1703.2031408085259
57,1647.3453847667004
58,1603.1750956696249
59,1752.103486098807
60,1844.5542668477553
61,1797.6871709523557
62,1825.8015501205066
63,1888.0545678535657
64,2053.2033190337734
65,2068.8357886783133
66,2112.8161520819954
67,2114.190390237511
68,2107.6942925693374
69,2029.9659370990587
70,1971.186671337764
71,1872.5408897383838
72,2011.6542897147192
73,1800.555412200481
74,1907.4942771809035
75,1925.5942292631714
76,1938.014624429949
77,1872.3708746905081
78,1648.623588431184
79,1734.270884123234
80,1743.2591172702876
81,1611.239740954288
82,1639.192183246825
83,1818.9926885806879
84,1736.8710005958244
85,1783.3170160555762
86,1754.3701527688245
87,1851.1931441496808
88,1872.9098395905623
89,1914.4632294494281
90,1968.7085883026148
91,1966.246943349488
92,1981.16663823477
