,Adj Close
2016-03-31,1995.849976
2016-06-30,1970.349976
2016-09-30,2043.630005
2016-12-31,2026.160034
2017-03-31,2160.22998
2017-06-30,2391.790039
2017-09-30,2433.810059
2017-12-31,2479.649902
2018-03-31,2444.159912
2018-06-30,2271.540039
2018-09-30,2338.879883
2018-12-31,2010.0
2019-03-31,2168.280029
2019-06-30,2129.73999
2019-09-30,2063.050049
2019-12-31,2175.169922
2020-03-31,1754.640015
2020-06-30,2108.330078
2020-09-30,2358.0
2020-12-31,2944.449951
2021-03-31,3061.419922
2021-06-30,3296.679932
2021-09-30,3068.820068
2021-12-31,2989.23999
2022-03-31,2757.649902
2022-06-30,2332.639893
2022-09-30,2155.48999
2022-12-31,2225.669922
2023-03-31,2476.860107
2023-06-30,2564.280029
