,0
0,0.0
1,110.72569820960494
2,104.60146334268683
3,99.06314051555978
4,92.35659524700459
5,100.42563544824566
6,89.08367112797244
7,97.17975552018325
8,106.10349239980997
9,114.72981730217194
10,78.24836032852896
11,72.86985889247994
12,79.62570118041126
13,80.69070809687982
14,71.57765742105244
15,74.61663407948733
16,56.68440802488328
17,55.05620838470347
18,55.646278088675636
19,53.01015111084888
20,56.40979669961199
21,60.97458818492978
22,58.6235019347765
23,57.77555575981248
24,75.01108054316153
25,91.7513441536353
26,70.97593124304792
27,76.0544361098985
28,78.4186297935913
29,98.19963546238162
30,104.33435098729973
31,83.56289215797324
32,86.18352750901974
33,81.73117544287598
34,28.82663144220605
35,36.484904982267196
36,29.79783724064675
37,56.31251376779745
38,22.02476267508695
39,15.34466544787605
40,17.27400733408917
41,21.81285805657327
42,22.422230259721275
43,12.581019566118567
44,14.325814153659056
45,11.322429876502627
46,4.745057455465784
47,-2.862197593239124
48,-3.3156178002210823
49,-5.096762739393812
50,-12.357643178110067
51,-19.543085608468324
52,-12.889102844733213
53,-1.0486865403651957
54,-0.21782059607337034
55,20.460921108919685
56,42.21650949857154
57,30.01112518466553
58,25.139420041784668
59,39.361282386244476
60,32.501684663332476
61,28.522139775025135
62,37.726000679495854
63,46.25641645948229
64,59.098031630985126
65,58.70876228786814
66,69.79717554127443
67,55.95154651974408
68,59.73381979297257
69,81.41592683635699
70,66.05850847232013
71,47.66602540776679
72,57.32237733712067
73,36.59798569540762
74,48.74326974556469
75,61.23209944833854
76,77.51072334828118
77,65.09554483159188
78,44.28797129048987
79,46.52464451504401
80,66.3452470758406
81,43.86673715228591
82,54.8579692991722
83,81.13018856726981
84,61.95251891146158
85,61.25674793496736
86,78.71621011269441
87,101.61598809213883
88,77.47603376028724
89,71.24282444148
90,68.27151344370486
91,122.32737780997445
92,146.02790127353802
