,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
34,011170,007690,003570,002320,012630,006110,007460,006840,000020,025860,012170,002620,005740,001780,007540,015890,012750,001430,004430,012320,004250,015230,011780,001120,001230,001820,003200,014530,004920,008870
35,011170,003570,012630,006110,007460,006840,000020,025860,002620,005740,001780,007540,015890,012750,001430,012320,004250,015230,011780,001120,003200,004920,008870,014820,009160,004980,007210,009070,002600,002450
36,011170,003570,006110,007460,000020,025860,002620,005740,001780,007540,015890,012750,001430,012320,001120,003200,008870,014820,009160,004980,007210,002600,002450,010060,001230,007860,002840,006650,011760,011330
37,003570,007460,000020,025860,002620,005740,007540,015890,012750,001430,012320,001120,003200,008870,014820,009160,007210,002600,001230,002840,006650,011760,008770,001820,012030,004250,012170,015230,014530,009070
38,003570,007460,000020,025860,002620,005740,007540,015890,012750,001430,012320,001120,003200,008870,009160,007210,002600,011760,008770,001820,012030,004250,012170,014530,009070,011170,000670,004980,025000,002100
39,003570,007460,000020,005740,015890,012750,001430,012320,001120,008870,009160,007210,002600,011760,008770,001820,014530,009070,011170,000670,004980,025000,003300,007860,002840,001780,003220,015360,035000,006370
40,003570,000020,005740,015890,012750,001430,012320,001120,008870,009160,007210,002600,011760,008770,009070,011170,004980,025000,003300,007860,002840,015360,035000,001060,006650,025860,002900,002100,000040,013580
41,003570,000020,005740,015890,012750,001430,012320,001120,009160,002600,008770,009070,011170,004980,025000,002840,015360,035000,001060,006650,002100,013580,011200,014680,001230,009290,002810,024900,014790,009190
42,003570,005740,015890,012750,001430,012320,001120,009160,008770,009070,004980,025000,002840,035000,001060,002100,011200,001230,009290,024900,014790,004170,006280,009420,002620,003220,010580,007210,000520,002460
43,003570,005740,015890,012750,001430,012320,009160,008770,009070,025000,002840,035000,001060,002100,011200,001230,009290,024900,014790,003220,010580,007210,000520,002460,000120,015360,002810,010100,004920,004830
44,003570,005740,015890,012750,001430,012320,009160,025000,002840,035000,001060,002100,011200,001230,009290,024900,014790,003220,010580,007210,000520,002460,000120,015360,002810,010100,004830,000670,000430,004560
45,015890,012750,012320,009160,025000,002840,035000,001060,002100,011200,001230,009290,014790,003220,010580,007210,000520,002460,000120,015360,002810,010100,004830,000670,028050,006650,017940,007540,001790,001460
