,0
0,1000.0
1,1107.462791936537
2,1135.7028127022213
3,1179.144520714589
4,1240.3326593516015
5,1239.6069228123424
6,1233.0936233682028
7,1270.1308099778205
8,1211.4462985738694
9,1230.1998273944455
10,1163.8992208594761
11,1143.5926583870776
12,1165.5277700566592
13,1207.4765787015565
14,1244.6326280339017
15,1254.0016996770728
16,1232.8788214542342
17,1320.4417158148835
18,1345.4423357704907
19,1333.191473066246
20,1358.4838068912431
21,1307.8356784350244
22,1397.5006463972084
23,1491.1650373621485
24,1422.7985602416795
25,1505.8142304990363
26,1363.3105292038929
27,1408.9307172210536
28,1383.697664407106
29,1416.870210736176
30,1395.6120195055546
31,1366.8566141888841
32,1443.3180248484962
33,1470.6090403490455
34,1288.5403168257378
35,1405.7308525487995
36,1351.7576492511835
37,1458.2758045915268
38,1441.571326184583
39,1442.3469591910198
40,1490.4734659990422
41,1357.9738957214404
42,1412.7540205406913
43,1356.1882258377168
44,1365.214666634739
45,1417.2660362934917
46,1396.4127609205107
47,1417.3145417461228
48,1464.9416228306895
49,1360.015053584903
50,1236.5295114359524
51,1024.6771764978548
52,1148.9456477393392
53,1248.2644835156916
54,1252.3514594965409
55,1337.3351680577132
56,1396.9208340415287
57,1416.7833133592349
58,1398.651931826921
59,1596.9141163866882
60,1728.6031444163984
61,1882.787018728195
62,1828.4675194451854
63,1919.1846208008928
64,2032.7113101434945
65,2105.100029624397
66,2135.438209160352
67,2105.191214735959
68,2099.5407430075757
69,2080.088598944
70,2014.5883348887585
71,1855.7014308993696
72,1955.1999793321145
73,1796.5931668678134
74,1828.9430808863865
75,1882.0775039597822
76,1946.9088474559683
77,1918.1510161370227
78,1688.5937105336257
79,1774.5873574281918
80,1909.8796739560694
81,1673.8895492498073
82,1727.6357918219132
83,1883.8544818278228
84,1791.5125952939
85,1937.9178587430508
86,1979.6761392418064
87,2239.8871728970307
88,2154.0498036579006
89,2135.94806297292
90,2194.436559006232
91,2265.2523052030515
92,2198.226170472582
