,0
0,0.0
1,38.41262575373765
2,41.38483343260631
3,56.51065683452667
4,64.94819808824286
5,68.51012892972102
6,96.64679159647606
7,100.55050428114139
8,105.27508430809718
9,115.36750867713361
10,140.11128168794738
11,141.9915913250944
12,113.02364152334393
13,136.9036459836098
14,173.71851682179752
15,142.25696950790407
16,174.25749515325825
17,103.78872013529516
18,158.1677851982408
19,196.79013049222962
20,254.3855224119933
21,274.32771718951994
22,461.93226414744544
23,456.5803661304162
24,518.4001041836459
25,535.4430459298977
26,448.86859657882667
27,416.9320883720434
28,431.5995633602749
29,596.956998551079
