,0
0,1000.0
1,2453.2819149101847
2,2590.9313329454008
3,2739.2886331696354
4,2898.2856719127435
5,3003.5531995841025
6,2967.940954991719
7,3032.2149837043034
8,2945.1201164874446
9,3060.5684482593097
10,3088.9312238610855
11,3031.0373726750186
12,3013.7064811242667
13,2927.8760435554595
14,3010.0770807573267
15,3153.6227330133183
16,3306.4038079781067
17,3351.608210424796
18,3633.1442623399425
19,3568.246559838328
20,3443.0016885051723
21,3517.107628861303
22,3250.0871914421614
23,3228.807038080242
24,3368.8828933508166
25,3309.650397206087
26,3430.2356531109526
27,3469.0835416117625
28,3416.723812695804
29,3534.1626919032465
30,3477.8926632900475
31,3373.233552556352
32,3380.4681488642323
33,3178.7723615550885
34,3247.575960714058
35,3710.34995175033
36,3769.8386394234576
37,4115.509514143515
38,3816.126441624311
39,4120.203230316545
40,4419.004238166095
41,4545.211158285655
42,4340.552356158761
43,4059.079111669309
44,4126.4759104341465
45,4091.4837776181826
46,3466.4385850657395
47,3734.3982487748176
48,3632.7759256157947
49,3860.8575799268797
50,4048.5810266796525
51,3929.640933260892
52,4075.1244965036194
53,3878.1946442579047
54,3886.1814101147006
55,3711.648190783954
56,3528.9815414822365
57,3512.2649438874537
58,3613.396581904447
59,3632.569354681253
60,3642.4205776254266
61,3268.1762964040045
62,3007.63447128158
63,2733.4291648225085
64,3249.2190817398973
65,3445.262525311108
66,3369.9549564328217
67,3661.0850960569305
68,3847.202687237005
69,3850.5568519384087
70,3874.594693013669
71,4425.84946273033
72,4559.349315835237
73,4912.888528700688
74,5080.180146455206
75,5367.544045754482
76,5871.663291918467
77,6053.958534298256
78,6318.939570017944
79,6082.64890437545
80,6092.033639973561
81,6185.221021607064
82,6093.204581968749
83,5282.729206486335
84,5660.450625269096
85,5103.441741563415
86,5412.198397423895
87,5852.683075769226
88,6082.482604843035
89,6092.69908030795
90,5409.368933977182
91,5622.601696507073
92,5862.759931912635
93,4997.276837296493
94,5280.459417678589
95,5705.182926815519
96,5266.071562072918
97,5664.232468108758
98,5724.114784272377
99,5701.626076612509
100,5742.896822428776
101,5803.104599740948
102,5753.338991688994
103,5617.534148605222
104,5544.376109296172
