,0
0,0.0
1,112.2504352465394
2,129.88920507403833
3,133.56508363717734
4,144.00366640794044
5,150.56885945150395
6,151.37756813968412
7,145.13751840219018
8,137.27566807864702
9,143.31178606575511
10,143.21365284241483
11,142.3054642726528
12,141.3617573755938
13,139.67307031276212
14,137.47009651371053
15,138.41472934495002
16,142.5119251197986
17,143.56488748987678
18,144.8442582623227
19,147.64756034722146
20,132.2849669107366
21,143.51823266587695
22,120.16391692381174
23,124.28395028223456
24,132.78642340242504
25,131.69737371913394
26,137.27044755891148
27,138.3185226453547
28,136.61806310733598
29,146.8455724632242
30,143.18782979383698
31,137.10739585842182
32,138.67462063558386
33,123.88500626393757
34,133.87740812036634
35,167.34968336020333
36,166.70439169360117
37,188.82466173846075
38,172.86420184606436
39,169.1272596471641
40,197.36645081067286
41,221.01930089314249
42,197.17507530534238
43,179.17640941208836
44,188.82287511530927
45,201.09655496107854
46,147.89986986027012
47,163.9240778204813
48,162.05586022892606
49,186.14384801502243
50,189.94226399563826
51,194.94523027050215
52,202.8136708406431
53,178.8304368526015
54,188.05775366591342
55,161.2308451750226
56,157.85493272784007
57,161.95272406647342
58,152.19887827257023
59,153.4797604131259
60,157.71934386345458
61,143.46233884619903
62,117.89422592066697
63,98.19591584990191
64,129.2594880334569
65,138.91281309183904
66,135.13920325275856
67,163.05079998968623
68,172.6047738024072
69,174.78034925457715
70,169.6590310569819
71,204.63503189628403
72,226.00982030448503
73,232.9650716091011
74,240.22020568818056
75,250.28607201482353
76,280.1194342646622
77,320.21302410809494
78,350.10828742213744
79,328.32583961296564
80,321.8210716419024
81,311.5789001308401
82,308.09201964986374
83,270.63392852044245
84,300.8245997075458
85,268.9767418698831
86,280.0026225273017
87,300.41395718014473
88,317.7113581456974
89,319.3248277025555
90,262.65128112545324
91,278.2052042433359
92,309.3273365556895
93,245.9621580698356
94,256.40104743021095
95,309.94504530319523
96,282.63917897152953
97,309.79720392762584
98,309.975976422365
99,319.7818359169749
100,314.5602484364515
101,319.24933678579987
102,347.9934899968481
103,346.84079571955937
104,348.0860124447406
