,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,005380,009830,006120,026960,005850,016380,007310,002620,008060,017960,010690,012030,003920,003570,008350,007570,005390,000860,001250,035150,012610,011300,006890,003720,014530,011700,009070,003650,004060,008870
1,005380,009830,006120,026960,005850,016380,007310,002620,008060,017960,010690,012030,003920,003570,008350,007570,005390,000860,001250,035150,012610,011300,006890,003720,014530,011700,009070,003650,004060,008870
2,006120,026960,005850,007310,008060,017960,010690,012030,003920,003570,008350,007570,000860,001250,035150,011300,006890,003720,014530,009070,003650,004060,008870,000660,000100,017800,001630,004700,002900,017040
3,006120,026960,007310,008060,017960,010690,012030,003920,003570,008350,007570,000860,001250,035150,011300,006890,003720,014530,009070,003650,004060,008870,000100,001630,017040,005380,006280,016800,011760,009470
4,006120,026960,007310,008060,010690,012030,003920,003570,000860,001250,035150,006890,003720,009070,000100,001630,017040,005380,006280,016800,011790,036460,017800,005090,007810,003160,012610,033920,010100,011700
5,006120,026960,007310,008060,010690,003920,003570,000860,001250,035150,003720,009070,000100,001630,017040,006280,016800,017800,005090,007810,003160,012610,033920,010100,000640,018670,016580,005430,009470,004540
6,006120,007310,010690,003570,000860,001250,035150,003720,009070,000100,001630,017040,006280,016800,005090,007810,003160,012610,033920,010100,018670,009470,005490,021240,002790,036460,016380,029530,011760,004840
7,006120,007310,010690,003570,000860,001250,003720,009070,000100,001630,017040,016800,007810,003160,033920,010100,018670,009470,021240,002790,036460,029530,011760,004840,011790,004800,003280,010580,016880,002600
8,010690,003570,000860,001250,003720,009070,000100,017040,016800,007810,003160,033920,010100,018670,009470,021240,036460,029530,011760,011790,003280,010580,002600,018880,004370,001040,005300,026890,002310,007210
9,010690,003720,009070,000100,016800,007810,003160,033920,010100,018670,009470,021240,036460,011760,011790,003280,010580,018880,004370,001040,005300,026890,002310,007210,001680,016580,004840,020120,002390,016880
10,003720,000100,016800,007810,033920,009470,021240,036460,011760,011790,003280,010580,018880,004370,001040,005300,026890,002310,007210,001680,016580,004840,002390,016880,004800,029460,001470,001390,024720,017040
11,003720,000100,016800,007810,033920,021240,036460,011760,011790,003280,010580,018880,004370,001040,005300,026890,002310,007210,016580,004840,002390,016880,004800,001470,001390,024720,005490,010690,003920,001520
12,003720,000100,016800,007810,021240,036460,011760,011790,003280,010580,018880,004370,001040,005300,026890,002310,007210,016580,004840,002390,016880,004800,001390,024720,010690,001520,003550,012750,004360,011700
13,003720,000100,007810,021240,011760,011790,003280,010580,018880,004370,001040,005300,026890,002310,007210,016580,004840,002390,004800,024720,001520,003550,012750,004360,005490,006400,000210,003090,003030,003160
14,003720,007810,021240,011760,011790,003280,010580,018880,004370,001040,026890,002310,007210,004800,024720,001520,012750,004360,005490,006400,000210,003090,003030,003160,010950,002790,006650,001390,003070,036580
15,003720,007810,021240,011760,003280,010580,018880,004370,001040,026890,007210,004800,024720,001520,012750,004360,005490,006400,000210,003030,003160,002790,006650,001390,003550,002710,014580,002390,010820,002600
16,003720,021240,011760,003280,010580,018880,004370,001040,026890,007210,004800,024720,001520,012750,004360,005490,006400,003030,003160,006650,003550,002710,014580,002390,003090,003060,003920,002310,000490,015230
17,011760,010580,004370,007210,004800,024720,001520,012750,004360,005490,003030,006650,002710,003090,003060,000490,011780,000210,004990,004690,003580,007810,003070,012170,020120,002100,010820,023800,006490,000040
18,004370,007210,004800,024720,012750,004360,003030,006650,002710,003090,003060,011780,000210,004990,003580,003070,012170,002100,010820,000040,033780,003410,001740,000670,001680,015360,015230,001360,035150,002460
19,004370,024720,012750,006650,002710,003090,003060,011780,000210,004990,003580,012170,002100,000040,001740,000670,001680,001360,002460,018880,004690,003220,000490,010580,004250,004840,003160,000390,004080,009190
20,012750,006650,002710,003060,011780,000210,004990,002100,000040,001740,000670,001680,001360,002460,018880,004690,003220,010580,004080,009190,004020,004000,004430,007810,015360,003070,035150,010820,002600,004140
21,012750,006650,002710,011780,004990,002100,000040,001740,000670,001680,001360,002460,018880,004690,003220,010580,004080,009190,004000,004430,003070,035150,010820,002600,004140,011200,006040,006280,004800,024720
22,012750,006650,002710,004990,002100,001740,000670,001680,001360,002460,018880,004690,003220,010580,004080,009190,004000,004430,010820,002600,004140,024720,021240,029530,015360,013570,001250,002390,014790,001080
23,006650,002710,004990,002100,001740,000670,001680,002460,018880,004690,003220,009190,004000,004430,010820,002600,004140,024720,021240,029530,015360,013570,002390,014790,003410,003000,002030,016580,012800,023810
24,002710,004990,002100,001740,000670,001680,002460,018880,004690,009190,004000,004430,010820,002600,004140,029530,015360,013570,002390,014790,003410,003000,002030,016580,023810,017940,035150,004970,009180,004920
25,002710,004990,002100,001740,000670,001680,004690,004000,004430,010820,004140,015360,013570,002390,014790,003410,002030,016580,004970,009180,004920,011170,003230,001230,007690,024720,024900,001080,004080,004090
26,002710,002100,001740,000670,001680,004430,004140,015360,013570,002390,003410,016580,004970,009180,004920,011170,003230,001230,007690,001080,004080,000270,018880,011780,007460,005950,029530,000490,033920,023810
27,002710,002100,001740,001680,004430,004140,013570,003410,016580,004970,009180,004920,011170,001230,007690,001080,004080,018880,011780,005950,029530,023810,005610,003000,024720,003570,015890,024900,035150,014790
28,002710,002100,001680,004430,004140,013570,016580,004970,009180,004920,011170,001230,007690,004080,011780,005950,029530,005610,003000,024720,003570,015890,035150,004990,006110,001630,004710,020120,004090,002450
29,002710,002100,013570,016580,009180,004920,011170,001230,007690,011780,029530,003570,006110,004710,020120,004090,002450,028050,003410,012630,003230,004490,002030,001780,001130,015230,011330,001080,008700,023810
30,002710,002100,013570,009180,011170,001230,007690,003570,006110,004710,002450,028050,003410,012630,003230,004490,002030,001780,001130,001080,008700,023810,001630,011810,000070,007460,006840,002320,007540,000020
31,013570,009180,011170,001230,007690,003570,006110,004710,002450,028050,003410,012630,003230,002030,001130,001080,008700,023810,007460,006840,007540,000020,006260,003280,004430,025860,012170,024900,004090,004140
32,011170,001230,007690,003570,006110,003410,012630,003230,001130,001080,023810,007460,006840,007540,000020,003280,025860,012170,003300,002620,007860,005740,001780,007810,002320,015890,020120,015230,007210,004920
33,011170,007690,003570,006110,003410,012630,003230,001130,007460,006840,007540,000020,003280,025860,003300,002620,005740,001780,002320,015890,015230,007210,012750,001040,002030,012320,003200,004250,008700,008870
34,011170,007690,003570,006110,003410,012630,007460,006840,007540,000020,025860,002620,005740,001780,015890,015230,007210,012750,012320,003200,004250,008870,011780,001120,001430,004710,004430,012170,014530,002600
35,011170,003570,006110,012630,007460,006840,007540,000020,025860,002620,005740,001780,015890,015230,007210,012750,012320,003200,004250,008870,011780,001120,001430,012170,014530,002600,014820,004980,004920,002450
36,011170,003570,006110,012630,007460,006840,007540,000020,025860,002620,005740,001780,015890,007210,012750,012320,003200,008870,001120,001430,012170,014530,002600,014820,004980,010060,001230,007690,011760,011330
37,003570,007460,007540,000020,025860,002620,005740,001780,015890,007210,012750,012320,003200,008870,001120,001430,012170,014530,002600,014820,004980,010060,001230,011760,002840,001820,012030,009160,004250,009070
38,003570,007460,007540,000020,025860,002620,005740,015890,007210,012750,012320,008870,001120,001430,012170,014530,002600,004980,011760,001820,009160,009070,011170,008770,007860,006650,009290,025000,032560,000040
39,003570,007460,000020,025860,005740,015890,007210,012750,012320,008870,001120,001430,014530,002600,004980,011760,001820,009160,009070,011170,008770,007860,025000,000040,002840,003220,010580,015360,033530,035000
40,003570,007460,000020,005740,015890,007210,012750,012320,001120,001430,002600,004980,011760,009160,009070,008770,007860,025000,000040,002840,010580,015360,033530,035000,006040,001230,003300,001060,009290,002100
41,003570,007460,005740,015890,007210,012750,012320,001120,001430,002600,004980,009160,008770,025000,002840,010580,015360,035000,006040,001230,001060,009290,002100,011200,011170,003220,002810,014790,014530,009190
42,003570,005740,015890,007210,012750,012320,001120,001430,004980,009160,008770,025000,002840,010580,015360,035000,006040,001230,001060,009290,002100,011200,003220,014790,014530,005930,024900,009070,000520,002460
43,003570,005740,015890,007210,012750,001430,009160,008770,025000,002840,010580,015360,035000,001230,001060,009290,002100,011200,003220,014790,024900,009070,000520,002460,000120,006490,010100,009190,004920,004830
44,003570,005740,015890,007210,012750,001430,009160,025000,002840,010580,015360,035000,001230,001060,009290,002100,011200,003220,014790,009070,000520,002460,000120,010100,004830,004170,017940,000430,012320,002810
45,003570,015890,007210,012750,009160,025000,002840,010580,015360,035000,001230,001060,009290,002100,011200,003220,014790,000520,002460,000120,010100,004830,004170,017940,012320,002810,000670,002240,001790,024900
