,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,009830,036460,006120,026960,005850,016380,007310,006280,001630,002620,001060,008060,005090,010690,012030,016800,003920,008350,007570,000860,001250,035150,012610,006890,033920,005430,009070,009470,004060,008870
1,009830,036460,006120,026960,005850,016380,007310,006280,001630,002620,001060,008060,005090,010690,012030,016800,003920,008350,007570,000860,001250,035150,012610,006890,033920,005430,009070,009470,004060,008870
2,036460,006120,026960,005850,007310,006280,001630,008060,005090,010690,012030,016800,003920,008350,007570,000860,001250,035150,006890,033920,009070,004060,000660,000100,017960,034120,005390,010100,011700,017040
3,036460,006120,026960,007310,006280,001630,005090,010690,016800,003920,000860,001250,035150,006890,009070,000100,017960,010100,017040,017800,006110,001740,018670,003570,007540,011760,004380,012610,003720,010040
4,036460,006120,007310,006280,001630,005090,010690,016800,001250,006890,000100,010100,017040,017800,001740,003570,011760,004380,012610,003720,011790,006740,016380,020560,007810,001520,004560,033920,011700,009470
5,007310,006280,005090,010690,016800,001250,000100,010100,017040,017800,003570,012610,003720,020560,007810,001520,033920,011700,009470,002790,001040,018670,034120,003920,016580,010580,004840,003160,009070,004540
6,007310,006280,005090,000100,010100,017040,003720,007810,033920,009470,002790,001040,018670,016580,010580,003160,009070,005490,003550,021240,011790,036460,016380,003280,001820,029530,002310,011760,002390,016880
7,007310,010100,017040,003720,033920,009470,002790,018670,010580,003160,009070,005490,003550,021240,011790,036460,003280,029530,011760,016880,018880,004370,004800,005300,001390,026890,010690,003920,001250,011700
8,007310,017040,003720,033920,009470,018670,010580,003160,009070,005490,003550,021240,036460,003280,029530,011760,016880,004370,004800,005300,026890,010690,003920,001040,001120,007340,002310,016580,002390,007210
9,017040,003720,009470,010580,003160,009070,021240,003280,011760,016880,004370,004800,005300,010690,001040,016580,002390,007210,000100,018880,001060,001470,001680,005880,024720,016800,001520,004360,020120,007160
10,009470,010580,003280,011760,004370,001040,016580,002390,007210,000100,018880,001470,001680,024720,001520,004360,006400,004020,011790,012750,012510,003090,029460,006650,007810,002310,007540,003070,004840,012170
11,010580,011760,004370,001040,007210,018880,001470,024720,001520,004360,006400,011790,012750,012510,003090,006650,007810,002310,007540,003070,004840,012170,005490,003550,036460,006280,003030,005880,006490,036580
12,010580,011760,001040,007210,018880,001470,024720,001520,004360,006400,012750,003090,006650,007810,002310,004840,012170,005490,003550,036460,003030,036580,012330,021240,000210,002790,004800,001390,003060,003720
