,0
0,1000.0
1,990.9182157146178
2,1060.221107308053
3,1111.0977968842487
4,1187.2117235563355
5,1236.6224800959633
6,1236.1583579938813
7,1239.2305323457892
8,1193.0277231788245
9,1244.8210855893562
10,1267.1409602582369
11,1232.3899799148007
12,1241.0186147348404
13,1232.2028439566445
14,1265.8446103679257
15,1327.261437630597
16,1379.3142581627828
17,1390.9646584208538
18,1441.5060921403192
19,1431.0527540304952
20,1374.4106499970214
21,1398.0734712201738
22,1292.7353297961479
23,1306.3992248638074
24,1360.0830652330271
25,1335.8639525225908
26,1383.6583408272888
27,1387.0559154547539
28,1354.4543783827291
29,1413.5560381300177
30,1388.8743410949794
31,1339.2007983046522
32,1327.0645269877969
33,1246.1909221264498
34,1297.7577192872425
35,1499.8646693085916
36,1507.0418406537076
37,1642.5182621003426
38,1533.9528306465393
39,1654.2279264777283
40,1867.1150101160115
41,2031.126290287247
42,1914.0290242172664
43,1800.3929027276095
44,1857.6047636987646
45,1827.8686925046284
46,1536.0543068717718
47,1646.9325645136425
48,1606.5838026091728
49,1726.4313333056
50,1798.6734032699676
51,1799.26584361623
52,1881.047784743337
53,1785.2354672461765
54,1829.9624982300609
55,1738.0667578331095
56,1663.9956411680084
57,1658.7561799188816
58,1719.912630839146
59,1749.4446626670956
60,1778.2676146541596
61,1624.8513920573994
62,1490.0013244566069
63,1372.083659829588
64,1594.35359851168
65,1698.8351906817447
66,1687.881365780743
67,1845.7007534773563
68,1934.4925063483026
69,1946.2930907780974
70,1944.8570656570164
71,2219.490340813193
72,2274.8722792051044
73,2465.011302270973
74,2543.657874095887
75,2673.6846451511406
76,2893.5520363107908
77,3088.8760963597792
78,3262.354497526194
79,3103.0322014302587
80,3078.2935863851944
81,3082.5433161373576
82,3056.531345869829
83,2743.8427281176287
84,2959.5730767102755
85,2633.748520319835
86,2788.346895479438
87,3032.4477782773165
88,3101.445750972723
89,3105.1133060354005
90,2688.5680443720717
91,2748.0567128258735
92,2927.1619529676173
93,2482.3543035720477
94,2535.7061218526346
95,2748.8911034016432
96,2548.4730115707075
97,2729.9229765492173
98,2760.2807937775874
99,2811.972354520488
100,2813.7943823383926
101,2851.0844080370703
102,2835.611844419039
103,2757.5152906340663
104,2719.0744615698927
