,0
0,1000.0
1,2301.8468440679385
2,2489.954900235373
3,2584.2830723912866
4,2729.676930229875
5,2782.242206294028
6,2761.4765199279227
7,2717.6331493765215
8,2630.635453154563
9,2638.0153148961604
10,2659.65714414577
11,2633.6241045676275
12,2578.7210165202155
13,2602.8346669575426
14,2640.789755465555
15,2735.41810696451
16,2812.4587141839756
17,2848.3259601842483
18,2949.886453903739
19,3011.0601232940858
20,2842.805951590363
21,2899.158429185137
22,2656.82366423166
23,2675.059928773585
24,2796.402284657465
25,2780.4528148045724
26,2861.3848472569152
27,2907.69828721026
28,2834.8462554748917
29,2984.6536683454915
30,2992.965761863447
31,2893.3627854905735
32,2856.891603767796
33,2671.3879584621436
34,2816.8847688334863
35,2909.621492197617
36,2884.384366288742
37,3086.8772265038783
38,2873.4725020390233
39,2895.5509006592156
40,3201.706593092615
41,3303.402572739679
42,3102.112425625607
43,2946.6031995697977
44,3077.9608452335483
45,3114.481500866825
46,2579.5665918298873
47,2743.777799538771
48,2669.922228739427
49,2922.102196851185
50,3047.6363895464697
51,3035.5105487550572
52,3187.290668177202
53,2938.374628462526
54,3008.9538211149625
55,2813.379564200939
56,2755.7961345696117
57,2812.727554615647
58,2764.327748784059
59,2786.5168976046007
60,2812.3542400041683
61,2628.3229236952097
62,2345.760334382799
63,2113.3425256273517
64,2462.2951359588947
65,2589.0594861156433
66,2533.7457422716016
67,2822.185042426939
68,2970.3037771703625
69,2938.7092227969415
70,2878.1952906526403
71,3266.425267169132
72,3433.146423162223
73,3691.3003722087183
74,3757.6230835522697
75,3926.861321837533
76,4333.302001607232
77,4809.816492922963
78,5067.984678973845
79,4836.030323803466
80,4739.2451855830595
81,4673.792754005055
82,4634.4813150215705
83,4148.045415526524
84,4553.336272961619
85,4311.413796407022
86,4479.910928873013
87,4810.682835272435
88,4919.987466563075
89,4835.732736162553
90,4152.8652312460035
91,4288.160229450958
92,4473.157047385999
93,3971.8119882454985
94,4038.495423614933
95,4580.286744700392
96,4309.581077317679
97,4610.154826086457
98,4724.58399940869
99,5037.685135856135
100,5114.630810884897
101,5196.43917335605
102,5231.33321356379
103,5344.046585532592
104,5348.794529067953
