,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50,003570,013570,007700,009540,002320,014680,005850,005880,025860,010120,002350,005090,000680,016590,009450,001680,025540,004710,029530,011760
51,009540,002320,005850,005880,010120,002350,005090,000680,016590,009450,001680,004710,011760,006400,000720,036460,002380,000230,003920,015360
52,010120,002350,000680,009450,004710,011760,000720,002380,003920,015360,007700,012750,003240,017960,001780,001820,025860,029530,008350,002020
53,009450,000720,002380,003920,012750,017960,001780,008350,004990,036460,004000,009420,011810,007860,029460,001680,033240,004690,009160,004360
54,000720,001780,004990,004000,009420,011810,007860,029460,033240,004690,003550,010140,011790,007700,005420,003240,005880,033180,005740,007540
55,000720,004990,009420,011810,029460,004690,007700,003240,005880,005740,007540,001740,003300,007340,020000,000430,001340,009160,002900,015360
56,004990,009420,003240,005880,007540,003300,020000,000430,001340,002900,015360,000270,011790,014680,016380,018670,014820,017960,001790,000860
57,004990,005880,007540,003300,000430,001340,002900,015360,000270,014680,016380,014820,017960,012750,001740,004800,003000,004150,008490,006840
58,005880,003300,000270,014680,017960,004150,005490,003550,033780,006260,011790,036460,005850,000670,007860,011930,001530,033180,007690,001790
59,005880,003300,003550,033780,011790,036460,007860,007690,006740,012750,001230,001060,012510,009450,001680,007810,003570,009160,005390,003960
60,003300,036460,012750,001060,001680,003570,005390,003960,010130,011170,000720,006260,026960,005420,005300,000070,001390,001520,007570,012320
61,036460,012750,001680,003960,011170,000720,006260,026960,005420,001520,007570,003550,030000,003240,025540,007690,004690,012030,001790,004360
62,001680,011170,000720,006260,026960,005420,007570,003550,003240,025540,007690,012030,001790,004360,015760,004490,005880,005180,011930,013520
63,001680,011170,006260,007570,003550,003240,007690,012030,001790,004360,005880,005180,011930,014680,000670,001430,009450,017960,001820,007810
64,006260,012030,004360,005880,005180,011930,000670,009450,001820,007810,010130,006740,012750,001230,003300,000070,001470,000430,001340,013520
65,004360,000670,009450,001820,007810,010130,006740,012750,001230,003300,000070,000430,003550,011170,036460,005420,004800,005300,002240,005950
66,004360,000670,010130,012750,003300,000070,011170,005420,002240,006400,011790,030000,026960,004000,018670,001680,001390,005090,033180,012030
67,004360,012750,011170,005420,030000,026960,004000,001680,001390,005090,012030,010120,000880,003090,002840,005880,025620,003920,016580,002900
68,004360,012750,011170,005420,026960,004000,001680,001390,005090,012030,000880,002840,003920,016580,000990,004170,023590,004490,008060,005180
69,004360,011170,005420,004000,001390,012030,000880,002840,003920,016580,004170,023590,004490,008060,005930,003410,001820,007570,012320,013570
70,004360,011170,012030,000880,003920,016580,023590,008060,003410,001820,007570,012320,000240,001040,010780,009450,026890,025620,005950,002900
71,004360,011170,012030,000880,016580,003410,001820,007570,012320,000240,010780,009450,026890,025620,002900,000100,010120,005880,005180,004150
72,004360,012030,016580,010780,009450,026890,025620,002900,005880,005180,005490,010140,004990,012750,004170,004800,018670,002840,008060,017810
73,004360,016580,025620,002900,005180,004990,004170,002840,008060,005930,028050,000100,001800,017800,003090,023590,003030,005950,004430,007570
74,004360,016580,025620,004170,002840,008060,005930,028050,000100,001800,017800,023590,003030,005950,004430,012450,012750,009450,017810,012320
75,004360,016580,005930,028050,001800,017800,023590,003030,005950,009450,017810,009830,000720,003410,036460,026890,004150,001820,003920,003960
76,004360,016580,023590,005950,017810,009830,003410,026890,004150,001820,003920,003960,000660,012750,029460,002840,033240,002030,004690,002810
77,016580,023590,005950,009830,026890,004150,001820,003920,012750,029460,002840,033240,002030,002810,001800,000720,011780,017800,012510,004430
78,016580,005950,009830,004150,012750,029460,002030,002810,001800,011780,012510,004430,003550,000100,012450,036460,007690,025620,003060,003960
79,005950,004150,012750,029460,001800,011780,004430,003550,000100,036460,007690,025620,003960,000720,008930,004000,007860,003030,026890,017810
80,005950,029460,001800,004430,007690,008930,007860,003030,009830,012450,007700,016380,009420,001430,007460,001780,003060,001520,004700,000860
81,005950,029460,007690,008930,009830,012450,016380,009420,001430,007460,001780,001520,000860,028050,000720,004370,002710,002030,003580,013520
82,005950,029460,007690,009830,012450,016380,009420,001430,007460,001780,001520,000860,000720,002030,021240,036460,007860,011930,001820,003920
83,005950,029460,007690,009830,009420,001520,000720,002030,021240,007860,011930,001820,003920,011170,012750,010780,005440,000430,003060,004360
84,005950,007690,009830,001520,000720,021240,007860,011930,001820,012750,005440,000430,003060,009150,000240,004370,006120,004000,002620,002900
85,005950,009830,021240,011930,012750,005440,004370,006120,004000,002620,005380,008770,000210,008930,000670,001470,026890,001780,013520,000860
86,005950,009830,011930,005440,006120,004000,002620,005380,008930,000670,026890,013520,000860,012450,010060,007310,003620,029460,025620,004700
87,011930,005440,006120,004000,005380,008930,000670,013520,000860,012450,007310,003620,029460,025620,004700,000210,007860,001390,007690,002810
88,011930,005440,005380,000670,013520,000860,012450,007310,003620,029460,025620,004700,007860,001390,007690,030200,000720,036460,008490,000430
89,011930,005440,000670,013520,029460,004700,001390,000720,036460,008490,011170,008930,006120,000120,004000,002620,010780,007460,001820,001520
90,011930,005440,029460,004700,000720,036460,008490,006120,000120,002620,010780,001520,028050,000150,005610,003090,000430,003920,001790,016590
91,011930,005440,029460,004700,036460,006120,002620,010780,001520,000150,005610,003090,001790,016590,018880,008770,004370,006360,001390,007540
92,005440,004700,000150,005610,003090,016590,008770,001390,012330,010130,011170,001120,007860,007460,002240,001820,016800,029530,008350,002810
93,005440,001390,012330,010130,011170,001120,007860,007460,016800,029530,002810,005490,001800,036460,026960,004800,005300,008490,001780,010580
94,005440,001390,001120,007460,016800,002810,036460,026960,004800,005300,009150,010060,006360,002620,014820,002240,000430,004700,008350,015890
95,007460,016800,002810,036460,005300,009150,006360,002620,014820,002240,000430,004700,030200,028050,006120,000120,003620,003230,001780,007540
96,007460,009150,006360,002620,014820,000430,004700,028050,006120,003620,001780,012330,001040,001630,007340,020560,003240,008490,013520,015890
97,009150,006360,002620,004700,028050,006120,001780,012330,001040,001630,003240,000240,000120,026960,003230,010780,003090,011930,003220,001460
98,006360,002620,004700,028050,006120,012330,001040,003240,003230,010780,003090,003220,003410,036460,007860,008730,007460,010690,007690,002810
99,006360,002620,004700,006120,001040,003240,010780,003090,003410,008730,010690,007690,000270,010620,026960,006110,004150,001780,005010,002020
100,006360,004700,006120,001040,010780,003410,008730,010690,007690,010620,026960,006110,004150,002020,000990,007860,002240,017810,007810,000430
101,006360,004700,010780,003410,010690,007690,026960,004150,002240,000430,021240,002790,036460,001740,003230,004800,002620,003090,029460,009450
102,006360,010780,003410,002240,000430,021240,002790,001740,003230,004800,002620,003090,029460,005380,007310,018670,007460,005440,029530,013520
103,010780,003410,002240,000430,021240,002790,003230,004800,002620,003090,029460,005380,018670,007460,013520,003850,008730,009450,017940,003220
104,003410,004800,029460,005380,007460,003850,008730,009450,017940,003220,033780,000240,010060,007310,003030,005440,001680,026890,005880,025860
