,0
0,1000.0
1,2062.494393021047
2,2214.5421522539627
3,2314.151674484402
4,2470.5702507116057
5,2470.759879638578
6,2483.959300581014
7,2444.7918410258435
8,2362.752584041932
9,2453.5918097568697
10,2495.2534844298184
11,2459.994499898151
12,2363.1349582046073
13,2390.7509042466304
14,2367.994374970369
15,2433.4321767491806
16,2503.073953368511
17,2534.387883249711
18,2523.3560791342193
19,2525.1376286062805
20,2442.7584231521814
21,2503.043966013191
22,2294.294262797551
23,2300.413319975101
24,2447.378471387444
25,2457.341687641126
26,2523.4371877347976
27,2538.1395695045867
28,2448.413564055472
29,2541.5171761954016
30,2530.65162736127
31,2443.932679034601
32,2400.527067484289
33,2225.737428823851
34,2336.915174375727
35,2459.552832118177
36,2452.3206847603137
37,2623.817067103919
38,2489.3365169519448
39,2493.0002628812554
40,2714.6072363642993
41,2822.7663111374036
42,2673.451543868954
43,2531.984089782219
44,2666.3566717015965
45,2695.1018511810403
46,2230.4674699208254
47,2375.9420417016117
48,2310.4861700510714
49,2529.632210407791
50,2649.9849848150243
51,2669.383015181676
52,2799.0903218017943
53,2602.348442377792
54,2652.026953520182
55,2454.8971116379944
56,2400.0245418887325
57,2434.57609082353
58,2401.9828219094275
59,2426.796854140372
60,2524.72772835214
61,2356.7754833973445
62,2163.907081521479
63,1942.5429622718816
64,2282.758779245299
65,2365.8509883830066
66,2295.659697854631
67,2570.4204866297005
68,2666.687885401187
69,2665.739746756445
70,2616.159125462108
71,3007.6971886749625
72,3221.4267098500063
73,3488.6306929003417
74,3614.7275376606467
75,3784.5973610024407
76,4118.700485031128
77,4487.85824550681
78,4554.557285317431
79,4347.688466900025
80,4259.054524324003
81,4216.960840631176
82,4136.239662415136
83,3635.1187249521095
84,4015.198982751889
85,3729.8607731418974
86,3886.350702963289
87,4123.697877300616
88,4367.651124560859
89,4355.569042019554
90,3843.62888504977
91,3991.14068116527
92,4207.986479882347
93,3776.998887329875
94,4014.698385137571
95,4339.058708418045
96,4126.581178267215
97,4492.835412330223
98,4557.882521646672
99,4666.389699672541
100,4737.064103872015
101,4818.531822739437
102,5076.375155860553
103,4974.07494112095
104,4966.319830491117
