,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,005490,033780,001570,009830,000100,004020,006740,006120,017800,007310,006280,018670,002620,007340,008060,002240,005090,016800,003920,001520,005720,001250,006890,014530,011700,024090,005430,009070,009470,017040
1,005490,033780,001570,009830,000100,004020,006740,006120,017800,007310,006280,018670,002620,007340,008060,002240,005090,016800,003920,001520,005720,001250,006890,014530,011700,024090,005430,009070,009470,017040
2,009830,000100,006120,017800,007310,006280,018670,005090,016800,003920,001520,001250,006890,014530,011700,024090,005430,009070,009470,017040,003550,006040,001740,001630,011810,017960,007570,016580,005390,004380
3,009830,000100,006120,017800,007310,006280,018670,005090,016800,001520,001250,006890,014530,024090,009070,009470,017040,001740,001630,016580,004380,010950,006740,010690,001820,017390,003570,011760,005720,000390
4,000100,017800,007310,005090,016800,001520,001250,006890,009470,017040,001740,004380,006740,003570,011760,005720,005490,006400,003550,004020,011790,001040,006040,007340,001390,001530,007810,020120,033530,011700
5,000100,017800,007310,005090,016800,001520,001250,006890,009470,017040,001740,006740,005490,006400,003550,004020,001040,001530,011700,006280,018670,003280,001820,003920,016580,010580,003160,000390,033920,002700
6,000100,017800,007310,005090,016800,001520,009470,017040,001740,005490,006400,003550,011700,006280,018670,003280,001820,003920,016580,010580,033920,010950,002790,007340,001390,029530,011760,005720,020120,009070
7,000100,017800,007310,005090,016800,001520,009470,017040,005490,006400,003550,011700,018670,003280,001820,003920,010580,007340,029530,011760,009070,006740,001630,004150,025620,017390,001250,006890,014530,002700
8,007310,005090,016800,001520,009470,017040,005490,006400,003550,018670,003280,001820,003920,010580,007340,029530,011760,009070,004150,017390,014530,002700,018880,003030,006650,016580,005720,003160,020120,011280
9,005090,001520,009470,017040,005490,006400,003550,018670,003280,001820,010580,007340,011760,009070,004150,017390,002700,018880,006650,016580,005720,003160,020120,011280,005610,019170,002990,002390,000500,011700
10,005090,001520,009470,017040,005490,006400,003550,018670,003280,010580,007340,011760,004150,017390,002700,006650,016580,005720,011280,005610,007310,006280,002350,001390,007690,024720,000430,003920,002310,007210
11,001520,017040,005490,006400,003550,003280,010580,007340,011760,004150,017390,006650,011280,005610,002350,001390,024720,003920,007210,000210,006740,001040,019170,003030,004360,012170,020120,005680,009070,000300
